Rank,Ranking,Combo,Stock 1,Sector 1,Stock 2,Sector 2,Stock 3,Sector 3,Stock 4,Sector 4,2025,2024,2023,2022,2021,Worst Year,Worst Year %,Best Year,Best Year %,Starting Value ($),Ending Value ($),Total Profit ($),Total Return %,5Y CAGR %
1,Best Profit Generator,LLY + HWM + NVDA + ANET,LLY,Health Care,HWM,Industrials,NVDA,Technology,ANET,Telecommunications,46.4157272040541,98.74613635032892,107.96044184410678,-1.8567547949795813,75.28024092437943,2022,-1.8567547949795813,2023,107.96044184410678,100000.0,888253.0169247754,788253.0169247754,788.2530169247755,54.77732561408657
2,Best Profit Generator,BBVA + HWM + NVDA + ANET,BBVA,Finance,HWM,Industrials,NVDA,Technology,ANET,Telecommunications,74.85307050086931,93.9699005462439,108.3534914538599,-7.896544483668949,64.27483378257165,2022,-7.896544483668949,2023,108.3534914538599,100000.0,878896.9164542155,778896.9164542155,778.8969164542156,54.44988460362259
3,Best Profit Generator,BBVA + LLY + HWM + NVDA,BBVA,Finance,LLY,Health Care,HWM,Industrials,NVDA,Technology,80.27771675034938,80.36297350731215,100.0620096502617,4.562935211272649,56.32264774971648,2022,4.562935211272649,2023,100.0620096502617,100000.0,866202.7473259756,766202.7473259756,766.2027473259755,54.001131360814945
4,Best Profit Generator,BBVA + LLY + NVDA + ANET,BBVA,Finance,LLY,Health Care,NVDA,Technology,ANET,Telecommunications,62.92601663444349,76.61880124339574,114.1206314447985,-5.373949983397738,77.87592608570404,2022,-5.373949983397738,2023,114.1206314447985,100000.0,864532.2070745388,764532.2070745388,764.5322070745389,53.9416848208776
5,Best Profit Generator,MCK + HWM + NVDA + ANET,MCK,Health Care,HWM,Industrials,NVDA,Technology,ANET,Telecommunications,47.48991688848993,96.33928373559553,98.76678678115131,2.534735820989047,69.81751513883813,2022,2.534735820989047,2023,98.76678678115131,100000.0,842045.0237718732,742045.0237718732,742.0450237718733,53.132390685528264
6,Best Profit Generator,SAN + HWM + NVDA + ANET,SAN,Finance,HWM,Industrials,NVDA,Technology,ANET,Telecommunications,76.75951673480495,94.18368757721117,104.28061400990865,-12.076230436215594,61.361051920698145,2022,-12.076230436215594,2023,104.28061400990865,100000.0,833976.9153838584,733976.9153838584,733.9769153838583,52.83780992971832
7,Best Profit Generator,MPC + HWM + NVDA + ANET,MPC,Energy,HWM,Industrials,NVDA,Technology,ANET,Telecommunications,41.14665825228948,89.40681290931971,100.34820625328878,11.235115329151318,74.01098983056474,2022,11.235115329151318,2023,100.34820625328878,100000.0,832615.7241631359,732615.7241631359,732.6157241631358,52.78788589994355
8,Best Profit Generator,ING + HWM + NVDA + ANET,ING,Finance,HWM,Industrials,NVDA,Technology,ANET,Telecommunications,58.42188802126485,93.48320983433433,100.7017543645113,-11.47371926209855,72.61408959035771,2022,-11.47371926209855,2023,100.7017543645113,100000.0,824290.8571003505,724290.8571003505,724.2908571003505,52.48112817218562
9,Best Profit Generator,HSBC + HWM + NVDA + ANET,HSBC,Finance,HWM,Industrials,NVDA,Technology,ANET,Telecommunications,53.33144076931988,99.04207903609338,102.59549370516876,-8.47266658262421,63.95152056014245,2022,-8.47266658262421,2023,102.59549370516876,100000.0,823046.6815802128,723046.6815802128,723.0466815802127,52.4350696894019
10,Best Profit Generator,SAN + LLY + HWM + NVDA,SAN,Finance,LLY,Health Care,HWM,Industrials,NVDA,Technology,82.184162984285,80.57676053827942,95.98913220631044,0.383249258726007,53.40886588784298,2022,0.383249258726007,2023,95.98913220631044,100000.0,821282.7462556184,721282.7462556184,721.2827462556185,52.36967451440924
